text,sentiment
no it what i expected it to be,1
fell apart the second day i had it,0
cannot adjust the nose bridge probably missing partsbr will return to amazon,0
this is my third set of spencos i am female with wide feet and some foot pain these shoes are great,2
its ok,1
style not flattering to me at all but very cute on my friend i gave it to made me look dumpy i think the size i ordered may have been too large however i tend to think the style was just not meant for me my friend tried it on and it suited her perfectly,1
nice quality shirt the fit is wrong,1
its made cheap not worth the money,0
the goodbr nice appearancebr long battery lifebr configurable notificationsbr variety of watch faces and appsbr easy setupbr br the badbr costbr br overall the pebble steel is a bit of a luxury item but it performs well and looks nicebr br setup the pebble steel comes with the watch and charging cord however it is up to the user to supply the charger that accepts a usb connection if you are like me you have plenty of these from other devices however if you do not just know that you will need an additional accessory just to get up and running the watch charged in a couple of hours and then it was on to the pairing process i installed the pebble app on my samsung galaxy s5 and it was easy to get connected android is all about notifications and the pebble app lets you control which ones go to the watch on a per app basisbr br watch faces the android pebble app is where you go to get watch faces and apps for the pebble i wanted my pebble to look like a normal watch and i went with the analog watch face that comes from the factory while that may seem boring pebble has a wealth of others to choose from including various bands and tv shows you can choose as subtle or outlandish as you desire and the bottom line is that you have choices there are also composite watch faces that include weather notification counts and other items too however be advised that everything that updates the display has a cost in battery lifebr br apps the pebble store has a number of apps to choose from too while there are many for weather sports email and text responders i chose to keep things simple i have dashboard controls phone toggles here to there gives estimated travel time to saved destinations and trello list management such as shopping lists there are also apps for evernote and wunderlist but i found the trello watch app worked best for shopping listsbr br usage i bought my pebble for a pretty specific purpose i keep my phone on vibrate during working hours at a minimum and i often missed calls or text messages with the pebble i am able to see when i get a call or a text and the information display provides useful information to me on the spot i can see who contacted me along with the contents of text messages i also like that i can dismissignore phone calls from the watch the other notification that i have sent to my pebble is calendar reminders it is handy to see where my next meeting is without having to pull my phone out finally i find it much easier to manage the shopping list without having to constantly unlock my phone as you may have gathered the pebble steel is a pure convenience for me albeit one that does what i want it to quite wellbr br battery life battery life is heavily dependent on usage,2
too loose and the key goes in too deep so you cant put the key all the way in to the door,0
keeps coming unlatched from my watch three times now it has come off each time after several days of wear and im double checking it when i clasp it on initially,0
i had this suit in my amazon cart and actually found it in a local chain sporting goods store i was able to try in on in sizes 3812 and 4014 i am 5334 165 4034 full bust not band 35534 waist 43534 hips and 63534 torso shoulder through crotch and back to shoulder point so im a difficult fit and tyrs online sizing chart had me in a 34 38 and 40 off the charti wear a 1012 in regular clothing top and bottom and a 36b brabr br anyway personal humiliation and selfloathing aside i could not perceive much of a difference in the two sizes i found both to be tight but not too small with good compression and coverage however i found both to feel short in the torso with a pull at the crotchthe dreaded toe they also felt narrow in the crotch on a thinner person this may not be an issue the cutout in the back is high and will provide plenty of backside coverage up and down side to side is another story the higher cut on the leg coupled with the shorter torso makes wedgies a likelihood for a larger backside the top provided plenty of coverage for me bcup and will cover a larger chest the wider straps may provide more support of a larger chest however this is a swimming suit not a bathing suit you will not have padding cups shelf bra or spot control of tummy butt or back fatbr br i didnt find the fit of this suit comfortable in the length had it fit properly the pattern was not as flattering as the on on the suit i ended up buying httpwwwamazoncomspeedowomensrelaunchflybackswimsuitdpb00obwk5sarefsr_1_37ssportsandfitnessieutf8qid1442942179sr137keywordsspeedoswimsuitwomen size 4014br br seems that ordering a size up if you have a long torso or any curves at all is a good idea for swimming not bathing suits in general if you are looking for a very casual fit for just hanging out at the pool youll likely order up a couple of sizes ultimately you should do the leg work to try on clothing of any sort before ordering online beware that many times clothing sold online is 34irregular34 or mistagged,1
made well heavy weight fabric i love it,2
videoidfc15573f83b71a13f464375f4f480255 wow i love the shape and feel of this 7 inch bracelet i am a big fan of sterling silver and this silver is polished and it shines the diamonds look so huge their clarity matches the silver so well the tennis links feel comfortable to wear and has a very unique look i found the bracelet easy to put on by myself and it has a secure and easy locking mechanism on the side impressivebr br trust you found this review honest and helpful,2
after reading all the reviews i thought these would be a winner not so the size i almost always wear pinched my toes i also found the sole to be hard and there wasnt enough arch support for me,0
way to small,0
love the dots mine does not appear to be cut higher on side hem even all the way around falls just below the knee fits well,2
son hermosas buen precio y el tamaño es exacto,2
fits perfect,2
really cute fit my daughter perfect however not even 5 minutes into wearing them the plastic strap was cutting into her and the shows would come off every 5 min she had friction cuts on where the front strap is and she couldnt have worn them for more than 15 minutes cant say how good they may be since we didnt get but one wear out of them before we had to chuck them,1
although this is cute when the wings are extended there is no way to keep the wings extended you have to hold the wings up otherwise they just hang there like a blanket the mask is rather cheap and the eye holes way too small,0
it fit ok at first but after it was washed it shrank,0
no as good quality as i expected but will work,1
smaller than what on the picture and its not multicolor just an ivy color im wondering if this is real natural opal or labcreated bc it states natural opal but it doesnt look like it,0
great product,2
very nice boot quality is good i take a 75 and ordered a 75 but they were very snug i would size up unfortunately had to return them as the grey is more of a taupe color than a grey i even got a few opinions and all i asked said they were taupe,1
i was really looking forward to these shoes and thought that they looked really cool but once i put them on i knew immediately that they werent going to workbr br upon putting them on i could tell immediately that they were way too slender they hug the inside of my foot like they are hanging onto dear life in us sizing my feet fit perfectly in various styles of shoes and i do not require a wide setting but these shoes would suggest otherwise as they are so tight that they are terribly uncomfortable i was able to walk around them for about an hour to get a feel for them until i just couldnt take the restriction any longer the cushion in them is great and they are really cool looking its just such a shame that they are designed with such a painfully slender foot in mindbr br overall i wouldnt recommend unless youre foot is extremely slim in relation to us everyday footwear,1
ordered up two sizes like it it said to on the reviews and it is still very small,0
